CmpdID,neuSmi,y_true
2077,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,4
4609,CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCC(O)CC1,4.77
4322,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,4
4316,CCOC(=O)CC(=O)c1ccccc1,4
6992,COc1ccc(CN2CCC(C#N)(CNC(=O)c3cc(CC(C)C)n(-c4ccccc4)n3)CC2)cc1,5.49
5958,COC(=O)N(Cc1ccc2c(n1)NC(=O)CO2)C12CCC(CCc3c(F)cnc4ccc(OC)nc34)(CC1)OC2,5.21
12780,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,4
4936,CCn1nc2c(c1Nc1nc(-c3ccc(-n4cnc(C)c4)c(OC)n3)cs1)CCC2,5.92
4073,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,5.554672779
9979,N#CCCCCC#N,4
8508,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C#Cc1nn(CC2CCN(C)CC2)c2ncnc(N)c12,5.25
3289,CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,4
5878,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccc(OC)cc2)CC1,6.32
2202,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,4
7400,COc1ccccc1N1CCNCC1,4
6577,COc1cc(CNCC2CCN(CCCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc(OC)c1OC,7.4
4270,CCOC(=O)C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccc(F)cc1-c1ccccc1,5.3
10695,Nc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cn1,5.75
4594,CCOc1cc(CN2CCC3(CC2)CC(Cc2ccc(F)cc2)C(=O)O3)cc(OCC)c1-c1ccc(F)cc1,6.02
8315,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N,4
11255,O=C(NC1CCCCC1O)c1cc(CN2CCN(c3cc4scnc4cn3)CC2)c2ccccn2c1=O,4.88
6642,COc1cc(N2CCN(C(=O)CO)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,4.85
8229,Cc1cc(NC(=O)c2ccccc2F)ccc1-c1nnc(NCCCN2CCCCC2)o1,5.4
2485,CC1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccc(C#N)cc2F)cn1,4.96
7032,COc1ccc(N2CCNCC2)cc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,5.32
3568,CCCCN(C)C,4
3407,CCCCCCCCCCCl,4
