CmpdID,neuSmi,y_true
2117,CC(C)(CC(O)(Cc1cc2cc(N3CCOCC3)ncc2[nH]1)C(F)(F)F)c1ccccc1S(C)(=O)=O,4.7
12899,O=C(O)C1(c2ccc3c(c2)OC[C@H](Cc2ccc(-c4ccccc4)cc2)[C@H]3O)CCCC1,4
9446,C=C(C)CCCC(C)CCO,4
8683,C=CCN(CC=C)CC=C,4
11559,O=c1[nH]c2cc(Cl)ccc2n1C1CCNCC1,4
11364,COC(=O)c1cncn1C(C)c1ccccc1,4
618,Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](c4ccccc4)CC3)C2)c2cc(C(F)(F)F)ccc21,5
467,Fc1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)cc1,5.05
8695,C=COCC1CCC(COC=C)CC1,4
11823,Cn1sc(Cl)cc1=O,4
1044,O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCO)nc56)(CC3)OC4)nc2N1,5.62
8340,O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],4
7155,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,5.121339446
10312,CCCc1ccc(O)cc1,4
12624,Nc1c(I)cc(I)c(C(=O)N(CCC(=O)O)c2ccccc2)c1I,4
10995,CCOC(=O)c1ccc(I)cc1,4
10775,CCCCOP(=O)(OCCCC)OCCCC,4
6409,O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1,5.07
3137,Cc1cc(C)n(-c2cc(NC(=O)CCN3CC[C@H](N(C)C)C3)nc(-c3ccc(C)o3)n2)n1,5.64
11473,ClC(Cl)Br,4
3386,CC1OC2(CCN(CCc3ccccc3)CC2)CN(c2cncc(F)c2)C1=O,5.96
4208,CNC(=O)c1ccc(Nc2ncc(F)c(-c3cnc(C)n3C(C)C)n2)cc1,4.92
599,CC(C)c1cc(CN2Cc3ccccc3S2(=O)=O)nn1C(C)(C)C,4.71
5985,FC(F)(F)c1cccc(Nc2cc3[nH]c(Nc4ccc(N5CCOCC5)cn4)nc3cn2)c1,6.3
2494,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(=O)O)c(C)c4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,4.64
11076,CC=Cc1ccc(OCC)c(O)c1,4
3065,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1NC(=O)[C@H]1CCCN1,5.17
11730,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,4
1209,CC(C)CO/N=C/COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1F,6.35
6692,Cn1cc([C@H]2C[C@H]3[C@@H](CF)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cn1,4.86
5735,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2nc3c(s2)CCCC3)CC1,5.12
